x y1 y2 y3
-10 99 119 129
-9,95 98,0025 117,803 127,70325
-9,9 97,01 116,612 126,413
-9,85 96,0225 115,427 125,12925
-9,8 95,04 114,248 123,852
-9,75 94,0625 113,075 122,58125
-9,7 93,09 111,908 121,317
-9,65 92,1225 110,747 120,05925
-9,6 91,16 109,592 118,808
-9,55 90,2025 108,443 117,56325
-9,5 89,25 107,3 116,325
-9,45 88,3025 106,163 115,09325
-9,4 87,36 105,032 113,868
-9,35 86,4225 103,907 112,64925
-9,3 85,49 102,788 111,437
-9,25 84,5625 101,675 110,23125
-9,2 83,64 100,568 109,032
-9,15 82,7225 99,467 107,83925
-9,1 81,81 98,372 106,653
-9,05 80,9025 97,283 105,47325
-9 80 96,2 104,3
-8,95 79,1025 95,123 103,13325
-8,9 78,21 94,052 101,973
-8,85 77,3225 92,987 100,81925
-8,8 76,44 91,928 99,672
-8,75 75,5625 90,875 98,53125
-8,7 74,69 89,828 97,397
-8,65 73,8225 88,787 96,26925
-8,6 72,96 87,752 95,148
-8,55 72,1025 86,723 94,03325
-8,5 71,25 85,7 92,925
-8,45 70,4025 84,683 91,82325
-8,4 69,56 83,672 90,728
-8,35 68,7225 82,667 89,63925
-8,3 67,89 81,668 88,557
-8,25 67,0625 80,675 87,48125
-8,2 66,24 79,688 86,412
-8,15 65,4225 78,707 85,34925
-8,1 64,61 77,732 84,293
-8,05 63,8025 76,763 83,24325
-8 63 75,8 82,2
-7,95 62,2025 74,843 81,16325
-7,9 61,41 73,892 80,133
-7,85 60,6225 72,947 79,10925
-7,8 59,84 72,008 78,092
-7,75 59,0625 71,075 77,08125
-7,7 58,29 70,148 76,077
-7,65 57,5225 69,227 75,07925
-7,6 56,76 68,312 74,088
-7,55 56,0025 67,403 73,10325
-7,5 55,25 66,5 72,125
-7,45 54,5025 65,603 71,15325
-7,4 53,76 64,712 70,188
-7,35 53,0225 63,827 69,22925
-7,3 52,29 62,948 68,277
-7,25 51,5625 62,075 67,33125
-7,2 50,84 61,208 66,392
-7,15 50,1225 60,347 65,45925
-7,1 49,41 59,492 64,533
-7,05 48,7025 58,643 63,61325
-7 48 57,8 62,7
-6,95 47,3025 56,963 61,79325
-6,9 46,61 56,132 60,893
-6,85 45,9225 55,307 59,99925
-6,8 45,24 54,488 59,112
-6,75 44,5625 53,675 58,23125
-6,7 43,89 52,868 57,357
-6,65 43,2225 52,067 56,48925
-6,6 42,56 51,272 55,628
-6,55 41,9025 50,483 54,77325
-6,5 41,25 49,7 53,925
-6,45 40,6025 48,923 53,08325
-6,4 39,96 48,152 52,248
-6,35 39,3225 47,387 51,41925
-6,3 38,69 46,628 50,597
