x,y1,y2,y3
-5,0.03125,32,74.20994852
-4.95,0.032352029,30.90996253,70.59102367
-4.9,0.033492921,29.85705573,67.14861313
-4.85,0.034674046,28.8400148,63.87410911
-4.8,0.035896824,27.85761803,60.75932363
-4.75,0.037162722,26.90868529,57.79646811
-4.7,0.038473263,25.99207668,54.97813386
-4.65,0.03983002,25.10669113,52.29727359
-4.6,0.041234622,24.25146506,49.74718374
-4.55,0.042688758,23.42537114,47.32148776
-4.5,0.044194174,22.627417,45.01412015
-4.45,0.045752678,21.85664411,42.81931128
-4.4,0.047366143,21.11212657,40.731573
-4.35,0.049036506,20.39297004,38.74568487
-4.3,0.050765775,19.69831061,36.85668113
-4.25,0.052556026,19.02731384,35.05983829
-4.2,0.05440941,18.37917368,33.35066331
-4.15,0.056328154,17.75311155,31.72488236
-4.1,0.058314562,17.1483754,30.17843014
-4.05,0.060371021,16.56423878,28.70743971
-4,0.0625,16,27.30823284
-3.95,0.064704058,15.45498126,25.97731077
-3.9,0.066985841,14.92852786,24.71134551
-3.85,0.069348092,14.4200074,23.50717148
-3.8,0.071793647,13.92880901,22.36177763
-3.75,0.074325445,13.45434264,21.27229987
-3.7,0.076946526,12.99603834,20.23601394
-3.65,0.079660039,12.55334557,19.25032859
-3.6,0.082469244,12.12573253,18.31277908
-3.55,0.085377516,11.71268557,17.42102106
-3.5,0.088388348,11.3137085,16.57282467
-3.45,0.091505356,10.92832205,15.76606897
-3.4,0.094732285,10.55606329,14.99873666
-3.35,0.098073012,10.19648502,14.268909
-3.3,0.10153155,9.849155307,13.57476104
-3.25,0.105112052,9.51365692,12.91455706
-3.2,0.10881882,9.18958684,12.2866462
-3.15,0.112656308,8.876555777,11.68945835
-3.1,0.116629124,8.5741877,11.12150024
-3.05,0.120742041,8.282119391,10.58135167
-3,0.125,8,10.067662
-2.95,0.129408115,7.727490631,9.579146717
-2.9,0.133971683,7.464263932,9.114584295
-2.85,0.138696184,7.210003701,8.672813081
-2.8,0.143587294,6.964404506,8.252728417
-2.75,0.148650889,6.727171322,7.853279873
-2.7,0.153893052,6.498019171,7.473468619
-2.65,0.159320078,6.276672783,7.112344929
-2.6,0.164938489,6.062866266,6.769005807
-2.55,0.170755032,5.856342784,6.442592724
-2.5,0.176776695,5.656854249,6.13228948
-2.45,0.183010712,5.464161027,5.837320153
-2.4,0.189464571,5.278031643,5.556947167
-2.35,0.196146024,5.098242509,5.290469443
-2.3,0.203063099,4.924577653,5.037220649
-2.25,0.210224104,4.75682846,4.79656753
-2.2,0.217637641,4.59479342,4.567908329
-2.15,0.225312616,4.438277888,4.350671277
-2.1,0.233258248,4.28709385,4.14431317
-2.05,0.241484082,4.141059695,3.948318005
-2,0.25,4,3.762195691
-1.95,0.258816231,3.863745316,3.585480826
-1.9,0.267943366,3.732131966,3.417731531
-1.85,0.277392368,3.60500185,3.258528344
-1.8,0.287174589,3.482202253,3.107473176
-1.75,0.297301779,3.363585661,2.96418831
-1.7,0.307786103,3.249009585,2.828315458
-1.65,0.318640157,3.138336392,2.699514868
-1.6,0.329876978,3.031433133,2.577464471
-1.55,0.341510064,2.928171392,2.461859078
-1.5,0.353553391,2.828427125,2.352409615
-1.45,0.366021424,2.732080514,2.248842402
-1.4,0.378929142,2.639015822,2.150898465
-1.35,0.392292049,2.549121255,2.058332896
-1.3,0.406126198,2.462288827,1.97091423
-1.25,0.420448208,2.37841423,1.888423877
-1.2,0.435275282,2.29739671,1.810655567
-1.15,0.450625231,2.219138944,1.73741484
-1.1,0.466516496,2.143546925,1.668518554
-1.05,0.482968164,2.070529848,1.603794434
-1,0.5,2,1.543080635
-0.95,0.517632462,1.931872658,1.486225341
-0.9,0.535886731,1.866065983,1.433086385
-0.85,0.554784736,1.802500925,1.383530892
-0.8,0.574349177,1.741101127,1.337434946
-0.75,0.594603558,1.681792831,1.294683285
-0.7,0.615572207,1.624504793,1.255169006
-0.65,0.637280314,1.569168196,1.218793303
-0.6,0.659753955,1.515716567,1.185465218
-0.55,0.683020128,1.464085696,1.155101414
-0.5,0.707106781,1.414213562,1.127625965
-0.45,0.732042848,1.366040257,1.102970169
-0.4,0.757858283,1.319507911,1.081072372
-0.35,0.784584098,1.274560627,1.061877819
-0.3,0.812252396,1.231144413,1.045338514
-0.25,0.840896415,1.189207115,1.0314131
-0.2,0.870550563,1.148698355,1.020066756
-0.15,0.901250463,1.109569472,1.01127111
-0.1,0.933032992,1.071773463,1.005004168
-0.05,0.965936329,1.035264924,1.00125026
-2.04281E-14,1,1,1
0.05,1.035264924,0.965936329,1.00125026
0.1,1.071773463,0.933032992,1.005004168
0.15,1.109569472,0.901250463,1.01127111
0.2,1.148698355,0.870550563,1.020066756
0.25,1.189207115,0.840896415,1.0314131
0.3,1.231144413,0.812252396,1.045338514
0.35,1.274560627,0.784584098,1.061877819
0.4,1.319507911,0.757858283,1.081072372
0.45,1.366040257,0.732042848,1.102970169
0.5,1.414213562,0.707106781,1.127625965
0.55,1.464085696,0.683020128,1.155101414
0.6,1.515716567,0.659753955,1.185465218
0.65,1.569168196,0.637280314,1.218793303
0.7,1.624504793,0.615572207,1.255169006
0.75,1.681792831,0.594603558,1.294683285
0.8,1.741101127,0.574349177,1.337434946
0.85,1.802500925,0.554784736,1.383530892
0.9,1.866065983,0.535886731,1.433086385
0.95,1.931872658,0.517632462,1.486225341
1,2,0.5,1.543080635
1.05,2.070529848,0.482968164,1.603794434
1.1,2.143546925,0.466516496,1.668518554
1.15,2.219138944,0.450625231,1.73741484
1.2,2.29739671,0.435275282,1.810655567
1.25,2.37841423,0.420448208,1.888423877
1.3,2.462288827,0.406126198,1.97091423
1.35,2.549121255,0.392292049,2.058332896
1.4,2.639015822,0.378929142,2.150898465
1.45,2.732080514,0.366021424,2.248842402
1.5,2.828427125,0.353553391,2.352409615
1.55,2.928171392,0.341510064,2.461859078
1.6,3.031433133,0.329876978,2.577464471
1.65,3.138336392,0.318640157,2.699514868
1.7,3.249009585,0.307786103,2.828315458
1.75,3.363585661,0.297301779,2.96418831
1.8,3.482202253,0.287174589,3.107473176
1.85,3.60500185,0.277392368,3.258528344
1.9,3.732131966,0.267943366,3.417731531
1.95,3.863745316,0.258816231,3.585480826
2,4,0.25,3.762195691
2.05,4.141059695,0.241484082,3.948318005
2.1,4.28709385,0.233258248,4.14431317
2.15,4.438277888,0.225312616,4.350671277
2.2,4.59479342,0.217637641,4.567908329
2.25,4.75682846,0.210224104,4.79656753
2.3,4.924577653,0.203063099,5.037220649
2.35,5.098242509,0.196146024,5.290469443
2.4,5.278031643,0.189464571,5.556947167
2.45,5.464161027,0.183010712,5.837320153
2.5,5.656854249,0.176776695,6.13228948
2.55,5.856342784,0.170755032,6.442592724
2.6,6.062866266,0.164938489,6.769005807
2.65,6.276672783,0.159320078,7.112344929
2.7,6.498019171,0.153893052,7.473468619
2.75,6.727171322,0.148650889,7.853279873
2.8,6.964404506,0.143587294,8.252728417
2.85,7.210003701,0.138696184,8.672813081
2.9,7.464263932,0.133971683,9.114584295
2.95,7.727490631,0.129408115,9.579146717
3,8,0.125,10.067662
3.05,8.282119391,0.120742041,10.58135167
3.1,8.5741877,0.116629124,11.12150024
3.15,8.876555777,0.112656308,11.68945835
3.2,9.18958684,0.10881882,12.2866462
3.25,9.51365692,0.105112052,12.91455706
3.3,9.849155307,0.10153155,13.57476104
3.35,10.19648502,0.098073012,14.268909
3.4,10.55606329,0.094732285,14.99873666
3.45,10.92832205,0.091505356,15.76606897
3.5,11.3137085,0.088388348,16.57282467
3.55,11.71268557,0.085377516,17.42102106
3.6,12.12573253,0.082469244,18.31277908
3.65,12.55334557,0.079660039,19.25032859
3.7,12.99603834,0.076946526,20.23601394
3.75,13.45434264,0.074325445,21.27229987
3.8,13.92880901,0.071793647,22.36177763
3.85,14.4200074,0.069348092,23.50717148
3.9,14.92852786,0.066985841,24.71134551
3.95,15.45498126,0.064704058,25.97731077
4,16,0.0625,27.30823284
4.05,16.56423878,0.060371021,28.70743971
4.1,17.1483754,0.058314562,30.17843014
4.15,17.75311155,0.056328154,31.72488236
4.2,18.37917368,0.05440941,33.35066331
4.25,19.02731384,0.052556026,35.05983829
4.3,19.69831061,0.050765775,36.85668113
4.35,20.39297004,0.049036506,38.74568487
4.4,21.11212657,0.047366143,40.731573
4.45,21.85664411,0.045752678,42.81931128
4.5,22.627417,0.044194174,45.01412015
4.55,23.42537114,0.042688758,47.32148776
4.6,24.25146506,0.041234622,49.74718374
4.65,25.10669113,0.03983002,52.29727359
4.7,25.99207668,0.038473263,54.97813386
4.75,26.90868529,0.037162722,57.79646811
4.8,27.85761803,0.035896824,60.75932363
4.85,28.8400148,0.034674046,63.87410911
4.9,29.85705573,0.033492921,67.14861313
4.95,30.90996253,0.032352029,70.59102367
5,32,0.03125,74.20994852
